WASTE CODE GROUP,2021,2023,delta,pct_change,share_2021,share_2023
K048,9809.861957,10067.1070605,257.2451035000013,2.6223111459426756,0.011940199579272722,0.014560429125514161
K050,7541.4037588,9899.2389554,2357.8351966,31.26520303131446,0.009179116524029746,0.014317635278974743
K083,9397.9305,9489.976,92.04550000000017,0.9794230761761877,0.011438811911319773,0.013725703136007726
D039,3818.2431171,8868.5839021,5050.340784999999,132.2687065782179,0.004647423690587861,0.012826960771766082
K169,2698.4395,7631.9685,4933.529,182.82896466643038,0.003284440323811266,0.011038398197673226
U240,6491.6262566,7586.671170900001,1095.0449143000014,16.868576085794764,0.007901366343136105,0.0109728829959403
F019,9748.9796484,7495.4583947,-2253.5212536999998,-23.11545756554992,0.011866095894764488,0.010840958585559038
F035,1383.4168716,7298.2706031,5914.853731499999,427.5539682163292,0.001683843628039047,0.010555758592477225
U228,5420.0068434,6631.8506588,1211.8438153999996,22.3587137509923,0.006597030999507668,0.00959189078929452
K051,6758.9945275,6351.644509,-407.35001850000026,-6.026784262698166,0.008226797070877695,0.009186618275534896
D028,994.0299718,6338.7198757,5344.6899039,537.678948877344,0.0012098963576752028,0.009167924900565606
K017,8074.074,5992.817999999999,-2081.2560000000003,-25.777024089697477,0.009827462955176915,0.008667634229646476
K016,7010.8725,5406.1995,-1604.6730000000007,-22.888349488597896,0.00853337358280573,0.007819186205637759
F30S,1086.1882096,5386.0684185,4299.8802089,395.8687979575359,0.0013220679414374873,0.0077900698782122964
U154,8574.0378085,4668.6840236,-3905.3537848999995,-45.548595330759674,0.010436000331346977,0.006752490305956062
F009,4926.3085483,4476.8576334,-449.4509149000005,-9.123482836963179,0.005996119773510823,0.00647504470593166
K156,5830.2205,4439.818,-1390.4025000000001,-23.848197508138842,0.007096327824622743,0.006421472914779083
K052,328.57099999999997,4190.195,3861.624,1175.2784025370468,0.00039992441618016316,0.006060433941243254
U108,2392.7893501999997,3129.7746592,736.9853090000001,30.800258657888115,0.0029124143150821187,0.004526708798291898
