STATE NAME,WASTE CODE GROUP,2021,2023,delta,pct_change
ALABAMA,U169,0.005,0.0,-0.005,-100.0
ALABAMA,U170,0.0,0.0001,0.0001,
ALABAMA,U179,0.0,0.0,0.0,
ALABAMA,U183,0.0,0.0,0.0,
ALABAMA,U185,0.0,0.0,0.0,
ALABAMA,U188,1.5310000000000001,1.2795,-0.25150000000000006,-16.42717178314827
ALABAMA,U190,0.0,0.0,0.0,
ALABAMA,U196,0.0,0.0,0.0,
ALABAMA,U197,0.0,0.0,0.0,
ALABAMA,U201,0.0007,0.00015,-0.00055,-78.57142857142858
ALABAMA,U204,0.0,0.0,0.0,
ALABAMA,U205,0.0,0.45727,0.45727,
ALABAMA,U210,0.2535,1.006,0.7525,296.8441814595661
ALABAMA,U213,0.1575,8.35,8.192499999999999,5201.587301587301
ALABAMA,U217,0.0,0.0,0.0,
ALABAMA,U218,0.0,0.258,0.258,
ALABAMA,U220,0.0025,0.0,-0.0025,-100.0
ALABAMA,U223,0.0,0.0,0.0,
ALABAMA,U226,0.012,0.0,-0.012,-100.0
ALABAMA,U228,0.0195,0.0,-0.0195,-100.0
ALABAMA,U234,0.0,0.0,0.0,
ALABAMA,U236,0.0,0.0,0.0,
ALABAMA,U239,22.5485,3.5915,-18.957,-84.07211122691088
ALABAMA,U240,0.0,0.02335,0.02335,
ALABAMA,U246,0.0,0.0,0.0,
ALABAMA,U248,0.0,0.0,0.0,
ALABAMA,U249,0.0,0.0,0.0,
ALABAMA,U271,0.0,0.0,0.0,
ALABAMA,U279,0.0085,0.3285,0.32,3764.7058823529414
ALABAMA,U353,0.0,0.0,0.0,
ALABAMA,U359,5e-05,0.0,-5e-05,-100.0
ALABAMA,U372,0.0,0.0,0.0,
ALABAMA,U404,0.303,0.0095,-0.2935,-96.86468646864687
ALABAMA,U411,0.0,0.0,0.0,
ALABAMA,UMIX,61.322,83.807,22.485,36.66710152963047
ALABAMA,U_PS,3.7935,0.8525,-2.941,-77.5273494134704
ALASKA,D001,64.611863,115.9468876,51.3350246,79.45139207640554
ALASKA,D002,10.634,39.661,29.027,272.96407748730485
ALASKA,D003,0.656,4.187,3.531,538.2621951219512
ALASKA,D004,5.2635551,1.4845,-3.7790551,-71.79662848024523
ALASKA,D005,1.254,0.2935,-0.9605,-76.59489633173844
ALASKA,D006,13.490499999999999,6.0095001,-7.480999899999999,-55.45383714465735
ALASKA,D007,14.732,50.0070001,35.2750001,239.44474680966604
ALASKA,D008,2079.999,755.0957000000001,-1324.9032999999997,-63.6973046621657
ALASKA,D009,1.1405566,1.104,-0.03655659999999994,-3.2051543956696174
ALASKA,D010,3.2875,0.7184999999999999,-2.569,-78.1444866920152
ALASKA,D011,0.212,0.802,0.5900000000000001,278.3018867924529
ALASKA,D016,3.44,0.238,-3.202,-93.08139534883722
ALASKA,D018,229.65529510000002,677.5429639,447.88766880000003,195.0260579034217
ALASKA,D022,0.1645,0.0,-0.1645,-100.0
ALASKA,D024,0.0,0.0015,0.0015,
ALASKA,D035,0.1665,0.0485,-0.11800000000000001,-70.87087087087087
ALASKA,D039,0.0,0.0,0.0,
ALASKA,D043,0.0,0.11,0.11,
ALASKA,DMIX,454.689,438.2835,-16.405500000000018,-3.6080705713135828
ALASKA,F001,0.074,0.0,-0.074,-100.0
ALASKA,F002,2154.0895,3.0985,-2150.991,-99.85615732308244
ALASKA,F003,2.4385,3.1775,0.7390000000000003,30.305515685872475
ALASKA,F005,11.2115,9.088,-2.1235,-18.940373723409003
ALASKA,F037,63.1,15.1375,-47.962500000000006,-76.01030110935024
ALASKA,F039,0.675,0.8,0.125,18.51851851851852
ALASKA,F1_5,14.3849999,21.814,7.4290001,51.64407474205126
ALASKA,ICR,8.3120482,8.051,-0.2610481999999994,-3.1406001712068923
ALASKA,K048,11.8,51.8,40.0,338.9830508474576
ALASKA,K050,8.3525,25.48,17.1275,205.0583657587549
ALASKA,K051,0.45,0.0,-0.45,-100.0
ALASKA,K169,0.0,2.2375,2.2375,
ALASKA,K171,0.0,24.1765,24.1765,
ALASKA,LABP,0.0025,0.0,-0.0025,-100.0
ALASKA,P001,0.0035,0.002,-0.0015,-42.857142857142854
ALASKA,P015,0.0,0.025,0.025,
ALASKA,P030,0.875,2.864,1.9889999999999999,227.31428571428572
ALASKA,P042,0.0,0.0045,0.0045,
ALASKA,P075,0.0,0.0825,0.0825,
ALASKA,P081,0.0035,0.0035,0.0,0.0
ALASKA,P098,5e-05,0.0,-5e-05,-100.0
ALASKA,P105,0.0005,0.0035,0.003,600.0
ALASKA,P106,0.0,0.0275,0.0275,
ALASKA,P120,0.0,0.0025,0.0025,
ALASKA,PMIX,0.00075,0.0,-0.00075,-100.0
ALASKA,TCMT,93.367,367.01200000000006,273.64500000000004,293.085351355404
ALASKA,TCOR Only,0.20049999999999998,0.0905,-0.10999999999999999,-54.862842892768086
ALASKA,TCORICR,138.1564999,97.8015,-40.354999899999996,-29.209628160245536
ALASKA,U002,0.10849999999999999,0.12100000000000001,0.012500000000000025,11.520737327188964
ALASKA,U012,0.0,0.001,0.001,
ALASKA,U044,0.015,0.0,-0.015,-100.0
ALASKA,U051,0.0,1.1325,1.1325,
ALASKA,U052,0.0225,0.0,-0.0225,-100.0
ALASKA,U122,0.0,0.004,0.004,
ALASKA,U123,0.0,0.0025,0.0025,
ALASKA,U129,0.001,0.0,-0.001,-100.0
ALASKA,U133,0.019,0.2125,0.1935,1018.421052631579
ALASKA,U134,0.0575,0.0505,-0.006999999999999999,-12.173913043478258
ALASKA,U144,0.0,0.001,0.001,
ALASKA,U151,0.00125,0.016,0.014750000000000001,1180.0
ALASKA,U152,0.0,0.008,0.008,
ALASKA,U154,0.0175,0.3405,0.323,1845.7142857142856
ALASKA,U159,0.0075,0.0,-0.0075,-100.0
ALASKA,U160,0.0,0.0055,0.0055,
ALASKA,U161,0.0,0.0345,0.0345,
ALASKA,U162,0.0045,0.006500000000000001,0.002000000000000001,44.44444444444447
ALASKA,U169,0.0,0.65,0.65,
ALASKA,U188,0.0075,0.3735,0.366,4880.0
ALASKA,U205,0.015,0.0,-0.015,-100.0
ALASKA,U210,0.0,0.16,0.16,
ALASKA,U220,0.0095,0.2705,0.261,2747.3684210526317
ALASKA,U240,0.0,0.067,0.067,
ALASKA,UMIX,2.734,1.0725,-1.6615,-60.77176298463789
ALASKA,U_PS,0.0045,0.017,0.0125,277.7777777777778
ARIZONA,D001,1152.7287494,929.5067819,-223.2219675,-19.364656916571914
ARIZONA,D002,14942.3456169,15392.66497,450.3193530999997,3.0137126033993105
ARIZONA,D003,38.2550579,56.3385,18.083442100000006,47.27072207620422
ARIZONA,D004,176.63590000000002,660.0625,483.4266,273.6853606769631
ARIZONA,D005,12.0107,53.908,41.8973,348.8331237979469
ARIZONA,D006,48.3405,244.7813046,196.4408046,406.3689961833246
ARIZONA,D007,918.809741,1111.9467026,193.13696159999995,21.02034327474549
ARIZONA,D008,12177.098,328.3996803,-11848.6983197,-97.30313675475061
ARIZONA,D009,526.54275,183.6111325,-342.93161749999996,-65.12892210556502
ARIZONA,D010,28.3506364,12.073499999999997,-16.277136400000003,-57.413654389782955
ARIZONA,D011,10.011,17.6142369,7.603236900000002,75.94882529217864
ARIZONA,D016,0.087,0.0,-0.087,-100.0
ARIZONA,D018,1.642,2.1959999999999997,0.5539999999999998,33.73934226552983
ARIZONA,D021,0.0,0.075,0.075,
ARIZONA,D022,0.0035,0.008,0.0045000000000000005,128.57142857142858
ARIZONA,D024,0.003,0.0,-0.003,-100.0
ARIZONA,D027,0.0,0.026,0.026,
ARIZONA,D028,0.0,0.0,0.0,
ARIZONA,D029,0.0,0.0,0.0,
ARIZONA,D035,0.0,3.926,3.926,
ARIZONA,D036,0.0,0.4525,0.4525,
ARIZONA,D038,0.0,0.0,0.0,
ARIZONA,D039,4.7543,6.3866371,1.6323371,34.333910354836675
ARIZONA,D040,0.0,0.0225,0.0225,
ARIZONA,DMIX,89.19395,450.3976986,361.20374860000004,404.9644046485216
ARIZONA,F001,279.1065,210.0,-69.10649999999998,-24.759903477704743
ARIZONA,F002,24.2255,18.8715,-5.353999999999999,-22.10067903655239
ARIZONA,F003,10975.01042,6033.843976900001,-4941.1664431,-45.02197495954633
ARIZONA,F004,0.1365,0.0,-0.1365,-100.0
ARIZONA,F005,21.489,24.9385,3.4495000000000005,16.052398901763695
ARIZONA,F006,1960.107233,547.709683,-1412.39755,-72.05715719125658
ARIZONA,F007,35.886500000000005,13.6105,-22.276000000000003,-62.073481671380605
ARIZONA,F008,9.406,165.44992,156.04391999999999,1658.9827769508822
