NAICS,2021,2023,delta,pct_change,share_2021,share_2023
71399,141.62661980000001,32.15,-109.47661980000001,-77.29946528032579,0.00017194323083326765,4.613636561766041e-05
311615,9.3808192,31.737018600000003,22.3561994,238.3181993316746,1.1388878470647147e-05,4.5543722978043204e-05
424420,0.0,31.4776666,31.4776666,,0.0,4.517154385842667e-05
441110,313.5571309,30.7255858,-282.8315451,-90.20096091841107,0.0003806772075326747,4.409228181292675e-05
49313,14.936,30.0,15.064,100.85698982324584,1.8133201931616567e-05,4.305104101181376e-05
561110,2241.1501115,29.9714067,-2211.1787048,-98.66267741075406,0.002720890970199149,4.301000863411499e-05
423220,54.485,29.78387,-24.70113,-45.33565201431586,6.614806556267599e-05,4.274088696201765e-05
541614,10.895,29.7542452,18.8592452,173.10000183570446,1.3227184992297972e-05,4.269837434602542e-05
811114,0.0,29.71,29.71,,0.0,4.263488094869956e-05
32629,20.6,29.577499999999997,8.977499999999996,43.58009708737862,2.500963844344546e-05,4.244473885089738e-05
445110,26.21693,29.2619666,3.0450365999999995,11.614771828738144,3.182892914549119e-05,4.199193747276414e-05
44511,9.103204999999999,28.9304139,19.827208900000002,217.80470614470403,1.1051838142066255e-05,4.15161478432549e-05
713930,10.2775374,28.8801718,18.6026344,181.0028382869227,1.2477548274902351e-05,4.144404868633424e-05
445230,29.724999999999998,28.35,-1.3749999999999964,-4.625735912531527,3.60879370257969e-05,4.0683233756164006e-05
32211,198.5777274,28.188999999999997,-170.3887274,-85.80455100927901,0.00024108529928131418,4.045219316940059e-05
62431,0.0,28.1,28.1,,0.0,4.0324475081065554e-05
311412,0.0,28.03,28.03,,0.0,4.022402265203799e-05
624229,170.59,28.0,-142.59,-83.58637669265491,0.00020710651563433789,4.018097161102617e-05
722310,0.0,27.549,27.549,,0.0,3.9533770961148576e-05
33991,47.40623,27.221,-20.18523,-42.57927702751305,5.7554013216835786e-05,3.906307957941941e-05
322219,42.216,27.154,-15.062000000000001,-35.678415766534016,5.1252761967402595e-05,3.896693225449303e-05
44412,147.105,26.613,-120.49199999999999,-81.90884062404406,0.00017859431374869143,3.8190578481579986e-05
811198,4.0115,26.6015311,22.590031099999997,563.131773650754,4.870202165819487e-06,3.817412021210464e-05
322110,7.8515,26.4386844,18.587184399999998,236.7341832770808,9.5321930212967e-06,3.794042954676002e-05
335132,0.0,26.3595,26.3595,,0.0,3.782679718503016e-05
31213,0.0,26.2248094,26.2248094,,0.0,3.76335115002133e-05
45712,0.0,26.1416693,26.1416693,,0.0,3.751420257171909e-05
32599,753.4351671000001,26.120376399999998,-727.3147907,-96.53316203694892,0.0009147155883372773,3.748364652134707e-05
333914,43.9459293,25.6345,-18.311429300000004,-41.66808983602493,5.335300013855418e-05,3.6786397027244655e-05
61171,2.553,25.5106514,22.9576514,899.2421229925577,3.099495482821177e-06,3.6608669988649466e-05
44133,0.0,25.4626877,25.4626877,,0.0,3.653984041479019e-05
323117,19.524157199999998,25.4440889,5.919931700000003,30.321061438698127,2.370350060606759e-05,3.651315049140451e-05
721211,0.0,25.284,25.284,,0.0,3.628341736475664e-05
115114,8.625,25.2752248,16.6502248,193.04608463768116,1.0471268523044517e-05,3.627082464825374e-05
237990,7117.7335,25.240000000000002,-7092.4935000000005,-99.6453927363254,0.008641356377271824,3.622027583793931e-05
483212,18.1255628,25.145,7.019437199999999,38.726726874378755,2.2005522922910916e-05,3.6083947541401895e-05
62111,11.55885,25.00525,13.4464,116.3299117126704,1.4033138802039782e-05,3.5883401442021865e-05
23799,99.04125,25.0,-74.04125,-74.75799225070362,0.00012024203172266467,3.5875867509844794e-05
32561,131.279876,24.6915,-106.588376,-81.19170983982343,0.00015938166182817245,3.5433159304773316e-05
31134,0.0,24.5914951,24.5914951,,0.0,3.528964880306391e-05
33422,0.0,23.8805,23.8805,,0.0,3.426934616275395e-05
72251,0.0,23.76,23.76,,0.0,3.40964244813565e-05
483211,718.3808841,23.6609565,-694.7199276,-96.70634937208236,0.0008721575813603734,3.395429362200804e-05
513110,0.0,23.6357836,23.6357836,,0.0,3.39181696369985e-05
48541,0.0,23.5625,23.5625,,0.0,3.381300512802872e-05
33429,107.3653119,23.4797008,-83.88561109999999,-78.13101793820616,0.00013034794330032775,3.369418540286388e-05
42332,504.97,22.9285,-482.04150000000004,-95.45943323365745,0.0006130639380964394,3.2903193127979056e-05
621399,16.017500000000002,22.784,6.766499999999997,42.244420165444026,1.9446207949897458e-05,3.269583061377215e-05
33712,22.597325,22.6,0.002674999999999983,0.011837684327680302,2.7434511069855878e-05,3.2431784228899696e-05
33522,27.775575,22.277499900000002,-5.498075099999998,-19.794640074957936,3.372121787906808e-05,3.196898539451923e-05
531311,32.0,22.02,-9.98,-31.1875,3.884992379564342e-05,3.15994641026713e-05
459991,1.779,21.866,20.087,1129.1174817313097,2.1598129510140516e-06,3.1378468758810654e-05
42341,0.0,21.81,21.81,,0.0,3.12981068155886e-05
481211,1.6117765,21.7284743,20.116697799999997,1248.10715381444,1.956793568769027e-06,3.1181114607114704e-05
312130,51.768,21.502,-30.266000000000002,-58.46468861072478,6.284946422040214e-05,3.0856116127867316e-05
922190,333.8239903,21.3865,-312.4374903,-93.59348021070012,0.00040528239325976907,3.0690369619971836e-05
541511,7.1726356,21.2508441,14.078208499999999,196.27664480822085,8.708010827309972e-06,3.0495698696158678e-05
322130,574.5625,21.0590759,-553.5034241,-96.33476325029913,0.0006975534169010743,3.0220504674726626e-05
32522,8.8475,20.6653026,11.8178026,133.57222492229442,1.07413968994361e-05,2.9655426325138047e-05
423110,9.4121902,19.6543892,10.242199000000001,108.81844482913235,1.1426964750628181e-05,2.820473051704498e-05
71219,0.0,19.060000000000002,19.060000000000002,,0.0,2.7351761389505676e-05
71211,5.775499999999999,18.6,12.824500000000002,222.05003895766606,7.01180421505433e-06,2.6691645427324534e-05
238390,7.9483313,18.4420647,10.4937334,132.0243583706683,9.649752040860233e-06,2.6465002791407427e-05
51211,30.5615,18.411,-12.150499999999997,-39.75753807895554,3.710349831501739e-05,2.6420423868950103e-05
92613,244.6345,18.3935,-226.241,-92.48123220559651,0.0002970009900870416,2.6395310761693214e-05
814110,42.17,18.2736414,-23.896358600000003,-56.66672658287882,5.119691520194635e-05,2.622330951155259e-05
48211,58.241605,18.0095,-40.232105000000004,-69.07794694188117,7.07088098745614e-05,2.5844257436741997e-05
62139,1.208495,17.8887028,16.6802078,1380.246322905763,1.4671855830442533e-06,2.5670909263031587e-05
48699,6.15,17.685,11.534999999999998,187.56097560975607,7.46646972947522e-06,2.537858867646421e-05
523940,0.0,16.87,16.87,,0.0,2.4209035395643273e-05
238160,5.3301706,16.755,11.4248294,214.34265912614507,6.471147550868093e-06,2.404400640509798e-05
611210,39.1435576,16.7197653,-22.423792300000002,-57.286035493105004,4.752263218282435e-05,2.399344338794002e-05
444180,0.0,16.4765391,16.4765391,,0.0,2.3644405350895098e-05
33361,6.8020000000000005,16.253999999999998,9.451999999999998,138.95912966774475,8.258036926811457e-06,2.332505402020069e-05
335210,10.8643694,16.2496721,5.385302700000002,49.56847932655901,1.3189997602428759e-05,2.331884333352086e-05
339910,0.0,16.19,16.19,,0.0,2.3233211799375492e-05
481112,10.0739541,16.1603578,6.0864037,60.41722683648122,1.2230385909556552e-05,2.3190674213779478e-05
423310,34.6285867,15.613700999999999,-19.0148857,-54.910949340014504,4.204118607643223e-05,2.240620273657325e-05
42383,440.48464210000003,15.597575,-424.8870671,-96.45899686181136,0.0005347748368355085,2.2383061366994703e-05
491110,36.1805,15.4011563,-20.779343700000002,-57.432439297411584,4.3925302121508655e-05,2.210119371668846e-05
316110,0.0,14.987,14.987,,0.0,2.1506865054801758e-05
334512,11.3775,14.5762106,3.1987106,28.11435376840255,1.3812968999529158e-05,2.0917368011247815e-05
518210,0.0,14.4848144,14.4848144,,0.0,2.0786211292763685e-05
311314,305.7112684,14.410916199999997,-291.3003522,-95.28610238169422,0.00037115185877529665,2.0680164811467037e-05
71311,0.826,14.396372000000001,13.570372,1642.9021791767557,1.002813657975046e-06,2.0659293379777577e-05
53113,4.2665,14.3385563,10.0720563,236.07304113441933,5.179787496066021e-06,2.057632584405002e-05
335921,18.1915,14.14,-4.051500000000001,-22.27139048456697,2.208557464776398e-05,2.029139066356822e-05
926130,284.8008,13.8324691,-270.96833089999996,-95.14310735784449,0.00034576529302932134,1.985007315062489e-05
23819,0.0,13.8195,13.8195,,0.0,1.9831462042092006e-05
21311,0.0,13.687000000000001,13.687000000000001,,0.0,1.9641319944289832e-05
48422,55.925,13.52777,-42.39722999999999,-75.81087170317389,6.789631213347995e-05,1.941281936894613e-05
314999,12.545525999999999,13.5249847,0.9794587000000003,7.807235025458481,1.5231022783633226e-05,1.940882236679512e-05
423390,1.455,13.398464500000001,11.943464500000001,820.8566666666666,1.7664574725831621e-06,1.9227261489494358e-05
424940,77.0855,13.187999999999999,-63.897499999999994,-82.89172412451109,9.358643127340847e-05,1.8925237628793324e-05
337121,12.1077748,12.9590186,0.8512438000000007,7.030555275937249,1.469956650983787e-05,1.859664137404858e-05
322291,11.478,12.9175,1.4395000000000007,12.541383516292044,1.393498204144985e-05,1.8537060742336808e-05
112990,0.0,12.609,12.609,,0.0,1.8094352537265324e-05
31322,0.0,12.3375,12.3375,,0.0,1.770474061610841e-05
312112,3.73762,12.3,8.562380000000001,229.0864239810361,4.537695380533524e-06,1.765092681484364e-05
92311,0.0,12.255357799999999,12.255357799999999,,0.0,1.7586863708741718e-05
561710,15.5205277,11.804046399999999,-3.7164813000000017,-23.94558594808604,1.8842853700411653e-05,1.6939216189058417e-05
424110,0.0,11.801,11.801,,0.0,1.693484449934714e-05
444140,0.0,11.674999999999999,11.674999999999999,,0.0,1.675403012709752e-05
423910,744.0789748,11.1455,-732.9334748,-98.50210792436438,0.0009033566084037652,1.5994179253239008e-05
424490,5.4535,10.9605,5.507,100.9810213624278,6.62087685686067e-06,1.5728697833666157e-05
42349,0.0,10.772499999999999,10.772499999999999,,0.0,1.5458911309992123e-05
551112,32.6414772,10.6705,-21.970977199999997,-67.30999661988336,3.962871568116351e-05,1.5312537770551958e-05
311991,0.0,10.349722100000001,10.349722100000001,,0.0,1.4852210352932509e-05
111419,8.247523,10.2555,2.0079770000000003,24.346424981173143,1.0012988751650515e-05,1.4716998369888534e-05
311941,18.345,10.2125,-8.132499999999999,-44.330880348868895,2.2271932875971205e-05,1.46552918777716e-05
238110,0.8350131000000001,10.1855,9.3504869,1119.8012222802251,1.0137561032301245e-06,1.4616545940860965e-05
424990,8.0,10.00834,2.0083400000000005,25.104250000000008,9.712480948910856e-06,1.4362315193339205e-05
711211,0.0,9.95,9.95,,0.0,1.427859526891823e-05
44411,430.931,9.7785,-421.1525,-97.73084322084046,0.000523176140974388,1.4032486817800695e-05
327331,18.280567100000003,9.569319400000001,-8.711247700000001,-47.65304955993406,2.2193707461754576e-05,1.3732305398151502e-05
48511,1492.5679057,9.549109999999999,-1483.0187957,-99.36022274339862,0.001812067168633378,1.3703304207877361e-05
335220,130.8844559,9.5091064,-121.3753495,-92.73473206989127,0.00015890159805466414,1.3645897653736689e-05
