REPORT CYCLE,STATE NAME,WASTE CODE GROUP,tons
2021,ARKANSAS,K113,0.0
2021,ARKANSAS,K115,0.0
2021,ARKANSAS,K132,3.8165
2021,ARKANSAS,K143,0.0
2021,ARKANSAS,K156,54.894
2021,ARKANSAS,K158,0.0
2021,ARKANSAS,K161,0.0
2021,ARKANSAS,K169,3.2995
2021,ARKANSAS,K170,0.0
2021,ARKANSAS,K171,259.1375
2021,ARKANSAS,KPET,75.396
2021,ARKANSAS,KXXX,83.339
2021,ARKANSAS,LABP,0.5335
2021,ARKANSAS,P001,3.2365
2021,ARKANSAS,P002,0.0
2021,ARKANSAS,P003,0.002
2021,ARKANSAS,P005,0.0
2021,ARKANSAS,P006,0.0
2021,ARKANSAS,P007,0.0
2021,ARKANSAS,P010,0.0
2021,ARKANSAS,P011,0.0
2021,ARKANSAS,P012,0.003
2021,ARKANSAS,P014,0.0
2021,ARKANSAS,P015,0.0
2021,ARKANSAS,P017,0.0
2021,ARKANSAS,P018,0.0
2021,ARKANSAS,P021,0.0
2021,ARKANSAS,P022,0.0
2021,ARKANSAS,P023,0.0
2021,ARKANSAS,P024,0.0
2021,ARKANSAS,P028,0.0
2021,ARKANSAS,P029,0.0
2021,ARKANSAS,P030,0.0225
2021,ARKANSAS,P039,0.0
2021,ARKANSAS,P042,0.0
2021,ARKANSAS,P043,0.0
2021,ARKANSAS,P044,0.0
2021,ARKANSAS,P045,0.0
2021,ARKANSAS,P048,0.0035
2021,ARKANSAS,P050,0.006
2021,ARKANSAS,P051,36.998000000000005
2021,ARKANSAS,P063,0.0
2021,ARKANSAS,P066,0.0
2021,ARKANSAS,P068,0.0
2021,ARKANSAS,P069,0.0
2021,ARKANSAS,P070,0.0
2021,ARKANSAS,P074,0.0
2021,ARKANSAS,P075,0.0125
2021,ARKANSAS,P076,0.05
2021,ARKANSAS,P077,0.0
2021,ARKANSAS,P078,0.0005
2021,ARKANSAS,P081,0.0
2021,ARKANSAS,P082,0.0
2021,ARKANSAS,P087,0.009000000000000001
2021,ARKANSAS,P089,0.0
2021,ARKANSAS,P092,0.0
2021,ARKANSAS,P093,0.0
2021,ARKANSAS,P094,0.0
2021,ARKANSAS,P095,0.0485
2021,ARKANSAS,P098,0.0615
2021,ARKANSAS,P102,0.0
2021,ARKANSAS,P103,0.0
2021,ARKANSAS,P104,0.0
2021,ARKANSAS,P105,0.09050000000000001
2021,ARKANSAS,P106,2.2355
2021,ARKANSAS,P108,0.0
2021,ARKANSAS,P110,0.0
2021,ARKANSAS,P112,0.0
2021,ARKANSAS,P113,0.0
2021,ARKANSAS,P115,0.0
2021,ARKANSAS,P116,0.0
2021,ARKANSAS,P119,0.022
2021,ARKANSAS,P120,0.0
2021,ARKANSAS,P121,0.0
2021,ARKANSAS,P122,0.0
2021,ARKANSAS,P123,108.785
2021,ARKANSAS,P127,0.0
2021,ARKANSAS,P194,0.0
2021,ARKANSAS,P205,0.0
2021,ARKANSAS,PEST,0.0
2021,ARKANSAS,PMIX,107.91000000000001
2021,ARKANSAS,PSLU,0.0
2021,ARKANSAS,TCMT,2856.3921763
2021,ARKANSAS,TCOR Only,3757.0290000000005
2021,ARKANSAS,TCORICR,1054.485297
2021,ARKANSAS,U001,0.0
2021,ARKANSAS,U002,7.4119541
2021,ARKANSAS,U003,1.1015
2021,ARKANSAS,U006,0.0
2021,ARKANSAS,U007,0.0
2021,ARKANSAS,U008,0.068
2021,ARKANSAS,U009,0.08
2021,ARKANSAS,U010,0.6585
2021,ARKANSAS,U012,0.0
2021,ARKANSAS,U019,0.0
2021,ARKANSAS,U020,0.0
2021,ARKANSAS,U028,0.002
2021,ARKANSAS,U029,0.0
2021,ARKANSAS,U031,0.0
2021,ARKANSAS,U032,28.381999999999998
2021,ARKANSAS,U033,0.0
2021,ARKANSAS,U034,0.001
2021,ARKANSAS,U036,5.5685
2021,ARKANSAS,U037,0.0
2021,ARKANSAS,U039,0.0
2021,ARKANSAS,U041,2.4419999999999997
2021,ARKANSAS,U043,0.0
2021,ARKANSAS,U044,0.005
2021,ARKANSAS,U046,0.0
2021,ARKANSAS,U047,2.9955
2021,ARKANSAS,U051,0.0
2021,ARKANSAS,U052,0.0
2021,ARKANSAS,U053,0.0
2021,ARKANSAS,U055,0.0825
2021,ARKANSAS,U056,0.0
2021,ARKANSAS,U057,0.3105
2021,ARKANSAS,U058,0.0
2021,ARKANSAS,U066,69.19500000000001
2021,ARKANSAS,U067,0.185
2021,ARKANSAS,U068,0.0055
2021,ARKANSAS,U069,0.0
2021,ARKANSAS,U070,0.0
2021,ARKANSAS,U072,0.0
2021,ARKANSAS,U075,0.0
2021,ARKANSAS,U077,0.0
2021,ARKANSAS,U078,0.0
2021,ARKANSAS,U079,0.0
2021,ARKANSAS,U080,1.344
2021,ARKANSAS,U081,2.489
2021,ARKANSAS,U082,0.0
2021,ARKANSAS,U083,0.0
2021,ARKANSAS,U084,16.552
2021,ARKANSAS,U085,0.0
2021,ARKANSAS,U088,0.0
2021,ARKANSAS,U092,0.0
2021,ARKANSAS,U093,0.0
2021,ARKANSAS,U096,0.0045
2021,ARKANSAS,U098,0.0
2021,ARKANSAS,U102,0.0
2021,ARKANSAS,U103,0.0
2021,ARKANSAS,U108,0.0
2021,ARKANSAS,U112,3.2285000000000004
2021,ARKANSAS,U113,0.0
2021,ARKANSAS,U115,0.0
2021,ARKANSAS,U116,13.475999999999999
2021,ARKANSAS,U117,0.0105
2021,ARKANSAS,U118,0.0
2021,ARKANSAS,U121,0.0
2021,ARKANSAS,U122,8.793
2021,ARKANSAS,U123,0.267
2021,ARKANSAS,U124,0.0
2021,ARKANSAS,U125,0.0
2021,ARKANSAS,U128,0.0
2021,ARKANSAS,U130,0.0
2021,ARKANSAS,U131,0.0
2021,ARKANSAS,U132,0.0
2021,ARKANSAS,U133,0.373
2021,ARKANSAS,U134,0.9277
2021,ARKANSAS,U135,1.347
2021,ARKANSAS,U136,0.0
2021,ARKANSAS,U138,0.066
2021,ARKANSAS,U140,0.0
2021,ARKANSAS,U144,0.0025
2021,ARKANSAS,U145,18.0915
2021,ARKANSAS,U147,0.7375
2021,ARKANSAS,U149,0.0
2021,ARKANSAS,U150,0.0
2021,ARKANSAS,U151,0.0
2021,ARKANSAS,U153,0.0
2021,ARKANSAS,U154,38.5109862
2021,ARKANSAS,U156,0.0
2021,ARKANSAS,U157,0.0
2021,ARKANSAS,U158,0.0
2021,ARKANSAS,U159,0.6275000000000001
2021,ARKANSAS,U160,0.305
2021,ARKANSAS,U161,0.0
2021,ARKANSAS,U162,43.009
2021,ARKANSAS,U163,0.0
2021,ARKANSAS,U165,0.024
2021,ARKANSAS,U169,0.0
2021,ARKANSAS,U170,0.0
2021,ARKANSAS,U173,0.0
2021,ARKANSAS,U179,0.0
2021,ARKANSAS,U182,0.0
2021,ARKANSAS,U185,0.0
2021,ARKANSAS,U187,0.0
2021,ARKANSAS,U188,15.3025
2021,ARKANSAS,U189,0.0
2021,ARKANSAS,U190,0.0555
2021,ARKANSAS,U191,0.0
2021,ARKANSAS,U196,1.7205
2021,ARKANSAS,U197,0.002
2021,ARKANSAS,U201,0.004
2021,ARKANSAS,U204,0.22
2021,ARKANSAS,U205,0.0
2021,ARKANSAS,U206,0.0
2021,ARKANSAS,U210,3.8235
2021,ARKANSAS,U211,0.0
2021,ARKANSAS,U213,0.0
2021,ARKANSAS,U214,0.0715
2021,ARKANSAS,U216,0.0
2021,ARKANSAS,U217,1.3019999999999998
2021,ARKANSAS,U219,0.0
2021,ARKANSAS,U220,1.0065
2021,ARKANSAS,U221,0.0
2021,ARKANSAS,U223,15.113
2021,ARKANSAS,U226,1.743
2021,ARKANSAS,U228,0.799
2021,ARKANSAS,U236,0.0
2021,ARKANSAS,U238,0.0
2021,ARKANSAS,U239,3.826
2021,ARKANSAS,U240,0.055
2021,ARKANSAS,U244,0.0
2021,ARKANSAS,U246,0.0
2021,ARKANSAS,U248,0.0
2021,ARKANSAS,U249,0.0
2021,ARKANSAS,U279,2.3315
2021,ARKANSAS,U328,0.0
2021,ARKANSAS,U359,0.0
2021,ARKANSAS,U404,0.0
2021,ARKANSAS,U409,4.947
2021,ARKANSAS,U410,0.0
2021,ARKANSAS,U411,0.0
2021,ARKANSAS,U480,1.18
2021,ARKANSAS,UMIX,74.1995
2021,ARKANSAS,U_PS,25.87218
